QUEST_20150317_000001	โปรดเลือกตัว ผู้เล่น 
QUEST_20150317_000024	ข้าได้ส่งต่อ Revelation ให้กับหัวหน้าพาลาดินแล้ว {nl}เขาจะไปรอเจ้าอยู่ที่สวนดอกไม้ที่อยู่สูงที่สุด
QUEST_20150317_000025	{memo X}พลังแห่งความมืดนี้ช่างไม่น่ารื่นรมย์ยิ่ง... {nl}แต่ถ้าข้อความเหล่านี้มาจากเทพไลม่าจริง,มันทำให้ข้ารู้สึกเลื่อมใสยิ่งนัก
QUEST_20150317_000026	{memo X}เอาละ,เจ้าจงรีบไปตามหา Sir Uska {nl}เขาจะบอกเจ้าเกี่ยวกับจุดหมายถัดไป {nl}ขอให้เทพเจ้านำพาโชคชะตาท่าน...
QUEST_20150317_000027	โปรดเลือก smart gen? ที่ต้องการ
QUEST_20150317_000028	William
QUEST_20150317_000029	{memo X}ค่าธรรมเนียม 100 เหรียญเงิน {nl}มันถูกกว่าที่จะลุยเข้าไปในศูนย์กลางของบรรดาฝูงมอนสเตอร์ทั้งหลายนะ
QUEST_20150317_000030	Cyneburg
QUEST_20150317_000031	{memo X}ทั้งหมด 100 เหรียญเงิน {nl}นั่นจะครอบคลุมถึงค่าปฏิบัติภารกิจ,ค่าแรงงาน,และค่าใช้จ่ายอื่นๆ
QUEST_20150317_000032	{memo X}เฮ้,เดียวก่อนนะ {nl}นี่มันยังไม่พอนี่...
QUEST_20150317_000033	{memo X}ไม่ได้หรอกนะ! {nl}ข้าทำงานฟรีให้ไม่ได้หรอก,แม้กับRevelatorเองก็เถอะ
QUEST_20150317_000034	Wandering Merchant
QUEST_20150317_000035	เหมือนเมล็ดของดอกแดนดิไลออน,ข้าเป็นเพียงคนหนึ่งที่ติดตามสายลม {nl}เพราะเราเจอกันในแบบที่ช่างแปลกยิ่ง,บางทีเจ้าอาจสละเวลาเพื่อดูบรรดาสินค้าแปลกๆของข้า
QUEST_20150317_000036	Kristina
QUEST_20150317_000037	ยินดีต้อนรับ! {nl}เจ้ากำลังตามหาผู้ติดตามอยู่ใช่ไหม? {nl}เจ้าจะไม่เจอที่ที่ดีที่อื่นสำหรับคู่หูเจ้านอกจากที่นี่
QUEST_20150317_000038	{memo X}เจ้าสามารถให้ผู้ติดตามเฝ้าดูการต่อสู้หรือฝึกคุณสมบัติพิเศษของผู้ติดตาม {nl}ถ้าได้รับความพอใจมากพอ,เจ้าจะสามารถซื้ออุปกรณ์ใหม่ๆได้!
QUEST_20150317_000039	{memo X}เพิ่มระดับความพึงพอใจของผู้ติดตามจะเพิ่มระดับความทนทานในการขี่และค่าการหลบหลีกของผู้ติดตาม! {nl}แล้วเจ้าคิดว่าอย่างไรบ้าง?สนใจจะได้ผู้ติดตามไว้บ้างไหม?
QUEST_20150317_000040	{memo X}กล่องนี้ต้องการกุญแจที่้เข้าคู่
QUEST_20150317_000041	เลือกเควส
QUEST_20150317_000042	เปลี่ยนแปลงสถานะเควส
QUEST_20150317_000043	บังคับเริ่ม?
QUEST_20150317_000044	ไอเทมที่จะทำการลบ
QUEST_20150317_000045	เลือก GenType?
QUEST_20150317_000046	เลือกพิกัดที่ต้องการ
QUEST_20150317_000047	$Knight Titas
QUEST_20150317_000048	$ถ้าเช่นนั้น,จงไปพบ Knight Commander Uska ที่ Klaipeda {nl}แต่ก่อนอื่น,ข้ามีบางอย่างที่สำคัญต้องบอกกับเจ้า,ตามข้ามา
QUEST_20150317_000049	$มันคงดีถ้าข้าจะหาเวลาพักได้บ้าง...
QUEST_20150317_000050	Sparnas... {nl}ไม่ใช่คนที่จะเอาชนะได้อย่างง่ายๆ...
QUEST_20150317_000051	Soldier Moody
QUEST_20150317_000052	จัดการเจ้ามอนสเตอร์พวกนี่ก่อนแล้วค่อยคุยกัน
QUEST_20150317_000053	Joint Investigation Team - Scott
QUEST_20150317_000054	ข้าอยากให้ถึงเวลาที่ทีมเราจะไม่ต้องทำการจริงๆ... {nl}มันคงเป็นยุคสมัยที่มีแต่ความสงบสุข...
QUEST_20150317_000055	ข้าไม่รู้จะเริ่มจากตรงไหน {nl}เจ้าได้ยินอะไรบ้างไหม?
QUEST_20150317_000056	ด้วยคำสั่งของราชสำนัก,เรามาที่ป่าแห่งนี้เพื่อสืบสวนเหตุการณ์ประหลาด {nl},มีผู้พบเห็นได้รายงานถึงบางสิ่งที่มีหน้าขนาดใหญ่และนิ้วมือผอมเล็กเหมือนกระดูก {nl}มันคือตัวอะไรกันนี่?
QUEST_20150317_000057	ในยุคสมัยก่อน,ผู้แสวงบุญเดินทางผ่านป่านี้ {nl}แต่ในยุคปัจจุบัน,มีแต่ทหารที่มารวมตัวกันเพราะบรรดามอนสเตอร์ที่ออกมาทำร้ายผู้คน
QUEST_20150317_000058	ตั้งแต่อดีตมาจนถึง4ปีก่อน,บ่อยครั้งที่เหล่าทวยเทพยังคงออกมาแสดงตนอยู่ {nl}แต่ตอนนี้,แม้แต่ให้พวกเรารวมกันภาวนาก็คงไม่ทำให้เกิดอะไรขึ้น {nl}นี่เทพธิดาได้ละทิ้งเราแล้วจริงๆหรือ?
QUEST_20150317_000059	Vacenin ออกเดินทางสู่ดินแดนหลายแห่งเพื่อจัดการกับสิ่งต่างๆ {nl}เขาจะรู้สึกไม่สบายเลยเวลาเขาอยู่ที่เมือง
QUEST_20150317_000060	แล้วเจ้าวางแผนจะอยู่ที่นี่หรือจะสมัครเป็นทหารละ? {nl}ถ้าเจ้าสนใจ,ข้ายินดีที่จะแนะนำเจ้าให้กับผู้บัญชาการสูงสุด
QUEST_20150317_000061	อย่าประมาทนะ,เจ้าพวกมอนสเตอร์มันอาจจะโผล่มาตอนไหนก็ได้,ที่ไหนก็ได้
QUEST_20150317_000062	นี่Goddess Zemynaหายตัวไปที่ไหนเนี่ย...
QUEST_20150317_000063	นี่เจ้าเรียกสิ่งนี่ว่าอะไร?
QUEST_20150317_000064	ข้าคิดว่าเทพแห่งปฐพี,Zemyna,น่าจะเสียใจมากกว่าท่านอื่นๆ
QUEST_20150317_000065	เจ้าพวก Pokubu มันอยู่ที่นี่ตลอด,แต่บางครั้งก็มีผู้พบเห็นมอนสเตอร์อื่นๆบริเวณนี้เหมือนกัน
QUEST_20150317_000066	ข้าคิดดูแล้วนะ เหล่าเทพธิดาคงละทิ้งพวกเราแล้วจริงๆ {nl}เพราะถ้ามันไม่เป็นเช่นนั้น,พวกมอนสเตอร์คงไม่ออกมามากขนาดนี้
QUEST_20150317_000067	เขาว่ากันว่ามีคนได้รับพรประทานความแข็งแกร่งของเทพอาศัยอยู่ในป่า
QUEST_20150317_000068	ข้าอยากกลับบ้าน
QUEST_20150317_000069	จำนวนของมอนสเตอร์ดูไม่ลดลงเลยไม่ว่าเราจะกำจัดมันไปเท่าไหร่ก็ตาม
QUEST_20150317_000070	{memo X}Julian ได้มาส่งท่านหรือ,Revelator?
QUEST_20150317_000071	ช่างน่าประหลาดใจยิ่ง {nl}เจ้าเป็นคนแรกที่ข้าพบในรอบหลายปีที่ผ่านมา
QUEST_20150317_000072	ข้าจะแสดงให้เจ้าดูว่าข้าเห็นอะไร
QUEST_20150317_000073	{memo X}ได้โปรด,ลืมเรื่องของข้าแล้วจงจากไปเถิด {nl}ดอกไม้นี่ดูท่าทางจะเติบโตอย่างสวยงาม
QUEST_20150317_000074	Lena
QUEST_20150317_000075	ได้โปรด,เล่าเรื่องราวแห่งการเดินทางของท่าน {nl}เราได้ทำตามเจตนารมณ์ของViboraและบันทึกเหตุการณ์ทุกอย่างบนโลกนี้
QUEST_20150317_000076	Henryka
QUEST_20150317_000077	สวัสดีจ้า! ยินดีต้องรับสู่สมาคมจอมเวทย์สาขาเมืองKlaipeda {nl}เราศึกษาเจาะจงในด้านปรากฏการณ์พิเศษเวลาที่เราผสมไอเทม 
QUEST_20150317_000078	ที่นี่ไม่มีอะไรให้ดูหรอกนะนอกจากไอน้ำกับพวก Vubbes {nl}เดียวก่อน,นั่นตัวอะไรหน้าใหญ่ๆกำลังวิ่งเข้ามานะ!?
QUEST_20150317_000079	แผ่นดินแห่งนี้ต้องการความดูแลของเราเช่นกัน {nl}โลกยังไม่ได้พังพินาศไปนี่...ใช่ไหมล่ะ?
QUEST_20150317_000080	ถ้าเรายังแสดงความเคารพอยู่,เรายังคงมีศรัทธานั้นอยู่และมีความรู้ {nl}เราทั้งหมดควรพิจารณาดูว่าจริงๆแล้วนี่คือความผิดของพวกเราหรือเปล่าที่พึ่งพาทุกอย่างกับเทพธิดา
QUEST_20150317_000081	Bulletin Board
QUEST_20150317_000082	ขอต้อนรับสู่เมืองแห่งการทำเหมืองKlaipeda!
QUEST_20150317_000083	Indifferent Widow
QUEST_20150317_000084	ฉันไม่มั่นใจว่าฉันเข้าใจเรื่องนี้อย่างท่องแท้,แต่ฉันมันใจว่าเหล่าทวยเทพนั้นไม่ได้หายซะทั้งหมดภายในครั้งเดียว
QUEST_20150317_000085	เทพที่หายไปองค์แรกคือGoddess Gabija{nl}ฉันได้ยินเรื่องนี้มานานมากแล้ว {nl}เหล่าเทพหายไปทีละองค์เริ่มจากGabija,พวกเขาก็เริ่มไม่ตอบรับการเรียกขานแล้ว
QUEST_20150317_000086	Goddess Vakarineหายไปไม่นานก่อนMedzio Diena {nl}ทั้งZemynaและ Ausrineทั้งคู่หายไปหลังจากนั้น {nl}ตั้งแต่เกิดเหตุการณ์นี้เวลาได้ผ่านมา4ปีแล้ว
QUEST_20150317_000087	{memo X}ใช่แล้ว,ที่แปลกที่สุดคือGoddess Laima {nl}ไม่มีใครรู้ว่าท่านได้หายไปตอนไหน
QUEST_20150317_000088	{memo X}อีกอย่างนะ,ไม่ใช่ว่าGoddess Laimaคือเทพแห่งโชคชะตาและปัญญาหรือ? {nl}ท่านคงจะรู้ถึงเรื่องราวทั้งหมด
QUEST_20150317_000089	Resting Soldier
QUEST_20150317_000090	ข้าเคยเป็นนักผจญภัยเหมือนกับเจ้านี่ละจนกระทั่งข้าโดนลูกธนูเข้าที่หัวเข่าเนี่ย...
QUEST_20150317_000091	มันไม่สำคัญหรอก มาเจอข้า,เจ้ามอนสเตอร์!
QUEST_20150317_000092	เทพธิดาได้ปรากฏตัวในฝันของข้าเมื่อครู่นี้... {nl}มันช่างน่าปลาบปลื้มยิ่งนัก...
QUEST_20150317_000093	อย่างไรก็แล้วแต่,ข้ามีหน้าที่ปกป้องอาณาจักรนี้ เพราะเหตุนี้ข้าจึงมาที่นี่
QUEST_20150317_000094	อุสก้าเป็นเพื่อนเก่าของข้าเอง
QUEST_20150317_000095	เราผ่านบททดสอบตอนเข้าเป็นอัศวินมาพร้อมกัน อุสก้ามาถึงจุดนี้ได้ก็เพราะการสนับสนุนของข้า {nl}โอ,วันเหล่านั้นมันช่างไม่น่าเชื่อ...มันคงจะดีถ้าข้าได้เจอเขาอีกครั้ง
QUEST_20150317_000096	{memo X}แค่อย่าไปเชื่อทุกอย่างในสิ่งที่เขาพูด {nl}เป็นที่รู้กันว่าเขาเป็นพวกชอบอวดเก่ง
QUEST_20150317_000097	ข้านะหรอ?ข้าเห็นว่ามันตลกดีนะ ข้าเลยปล่อยเขาไว้แบบนั้น
QUEST_20150317_000098	เอ่อ,เดียวก่อนนะ ข้าขอถอนคำพูดที่ว่าอย่าไปเชื่อทุกอย่างในสิ่งที่เขาพูด
QUEST_20150317_000099	ทุกอย่างที่ออกมาจากปากนั้นคือคำโกหก อย่าไปเชื่อเขานะ
QUEST_20150317_000100	Siauliai Guard
QUEST_20150317_000101	{memo X}เลยจากจุดนี้ไปจะเริ่มมีมอนสเตอร์แล้วนะ ระวังตัวด้วยละ
QUEST_20150317_000102	ป่าแห่งนี้ไม่ค่อยสงบสุขเท่าไรนัก,แต่มันก็ยังดีกว่าที่อื่นๆ {nl}มันมีป่าที่ไม่มีอะไรนอกจากวิญญาณเร่ร่อนออกอาละวาดด้วยนะ
QUEST_20150317_000103	$นี่คือชื่อที่เหล่าคนที่เห็นเทพธิดาปรากฏตัวในความฝันถูกเรียก
QUEST_20150317_000104	$ในตอนแรกข้าว่าวิสัยทัศน์ของRevelatorช่างดูบ้าไม่น่าเชื่อถือ {nl}เทพธิดาได้จากเราไปนานมากแล้ว
QUEST_20150317_000105	$ไม่จริงหรอกหรือที่เหล่าทวยเทพไม่ตอบรับการภาวนาของพวกเราตั้งแต่เMedzio Dienaเมื่อ4ปีก่อน?
QUEST_20150317_000106	$เจ้าสามารถพบ Class Masterต่างๆ ได้ทั่วไปในราชอาณาจักร {nl}ทำไมเจ้าไม่ลองไปพบท่านเหล่านี้แล้วลองเรียนรู้ดูละ?
QUEST_20150317_000107	$เจ้าไม่รู้เรื่องเกี่ยวกับMedzio Diena?เจ้าคงมาจากที่อันห่างไกลออกไป {nl}เมื่อ4ปีก่อน,มีบางสิ่งได้เกิดขึ้นในเมืองหลวง
QUEST_20150317_000108	${memo X}มันคือหายนะ... ผู้คนต่างบาดเจ็บหนักไม่ก็ถูกฆ่าเป็นจำนวนมาก {nl}มอนสเตอร์ที่เคยใจดีกลับทำตัวดุร้ายและมอนสเตอร์ใหม่ๆก็ปรากฏออกมาเป็นจำนวนมาก
QUEST_20150317_000109	$ถ้าเจ้าอยากจะเข้าใจถึงเหตุการณ์ที่เกิดขึ้นกับMedzio Dienaเมื่อ4ปีก่อน,เจ้าจงไปที Klaipeda เถิด {nl}ผู้รอดชีวิตจำนวนมากจากเหตุการณ์ได้ลี้ภัยไปอยู่ที่นั่น
QUEST_20150317_000110	Eastern Woods Sentinel
QUEST_20150317_000111	เจ้ากำลังเดินทางไปป่าทางด้านตะวันออกหรือ? {nl}เจ้าไปไม่ได้นะ!มันอันตรายเกินไป!
QUEST_20150317_000112	บ้าจริงๆ,พวกดื้อด้านนั่นตามเรามาจนถึงที่นี่เลยหรือ!
QUEST_20150317_000113	{memo X}เสียงร้องนั่น... พวกเราถูกโจมตี!
QUEST_20150317_000114	Safety Instructions
QUEST_20150317_000115	1.บุคคลที่ได้รับอนุญาตเท่านั้นถึงจะเข้าได้ {nl}2.ต้องเชื่อฟังในคำสั่งของผู้ควบคุมการทำเหมือง
QUEST_20150317_000116	3.อย่าเข้าไปในเขตที่ห้ามเข้า {nl}4.ถ้าเจอบุคคลที่น่าสงสัยให้รีบแจ้งอัศวินของ Klaipeda ทันที
QUEST_20150317_000117	Supply Base Soldier
QUEST_20150317_000118	ข้าไม่เคยต่อสู้มาก่อน ข้ารู้สึกค่อนข้างประหม่า
QUEST_20150317_000119	Farm Sentinel
QUEST_20150317_000120	ผู้ร่วมงานของข้ากำลังต่อสู้อยู่ที่Miners' Village{nl}ข้าคิดอยู่ว่าจะไปช่วย,แต่ป่าตะวันด้านตะวันออกนี้ก็มีปัญหาเช่นกัน,ทั้งหมดที่ข้าทำได้จึงแค่เป็นห่วง
QUEST_20150317_000121	ข้าคิดว่าภารกิจนี้ทำให้ข้าได้เจอมอนสเตอร์เพียงพอแล้วล่ะสำหรับชีวิตนี้ {nl}เมื่อก่อนนี้มีแต่กลุ่มของพวก Vubbes เท่านั้นแหละ
QUEST_20150317_000122	{memo X}พวกChupacabrasชอบลำธารและพืชผักเขียวขจีทางตอนเหนือของพื้นที่นี้
QUEST_20150317_000123	Klaipeda Guard Captain
QUEST_20150317_000124	เจ้าคือ...
QUEST_20150317_000125	{memo X}ดูเหมือนว่าเราสามารถมองเห็นป่าส่วนบนจากจุดนี้ได้ {nl}พยายามอย่าให้มีปัญหาล่ะ
QUEST_20150317_000126	ท่านไม่มีไอเทมที่จำเป็นสำหรับเควสนี้ ท่านแน่ใจแล้วหรือว่าต้องการดำเนินการต่อ?
QUEST_20150317_000127	Klaipeda Girl
QUEST_20150317_000128	เพื่อนบ้านของฉันเคยเป็นนายพรานออกล่ามอนสเตอร์ {nl}ตอนนี้เขาเกษียนแล้วล่ะ มันอันตรายเกินไป
QUEST_20150317_000129	{memo X}มันคงจะดีถ้าเหล่าRevelatorsที่ปรากฏตัวที่นี่หมายถึงการกลับมาของเหล่าเทพธิดา
QUEST_20150317_000130	มันคงดูไม่น่าเป็นไปได้ที่จะหวังว่าเทพธิดาจะกลับมา,แต่มันก็ดีกว่าไม่มีอะไรเลย
QUEST_20150317_000131	Klaipeda Lady
QUEST_20150317_000132	เรายังคงปลูกพืชผักบนผืนดินได้,และได้พักอบอุ่นหัวใจที่บ้านได้ {nl}ฉันจะยังคงเชื่อมั่นเสมอว่าเหล่าทวยเทพยังคงอยู่ที่ใดสักแห่งหนึ่งบนโลกนี้
QUEST_20150317_000133	จงมีศรัทธาไว้ {nl}แล้วเทพธิดาอาจจะส่งผู้กอบกู้มาช่วยเรา
QUEST_20150317_000134	Hoptile Master
QUEST_20150317_000135	$ถ้าดาบคือสัญลักษณ์แห่งพลัง,ถ้าเช่นนั้นหอกคงเปรียบเสมือนการทำลายร้าง {nl}พลังหรือการทำลายร้าง - อะไรคือสิ่งที่เจ้าต้องการบนสนามรบหรือ?
QUEST_20150317_000136	Machine Worker
QUEST_20150317_000137	แม้ว่าโลกจะวุ่วายขนาดไหน,เราก็ไม่สามารถหยุดทำงานได้ {nl}นี่มันสีปีมาแล้ว ไม่ใช่ว่าจะถึงเวลาสร้างความสงบสุขแล้วเริ่มสร้างใหม่หรอกหรือ?
QUEST_20150317_000138	Klaipeda เป็นเมืองที่ได้ขึ้นชื่อเกี่ยวกับอุตสาหกรรมเหมือง {nl}เพราะเรื่องของMedzio Diena,ส่วนมากเราจะวุ่นอยู่กับการปลูกต้นไม้หรือตัดต้นไม้
QUEST_20150317_000139	พ่อของข้าชอบที่จะเช็คทุกซอกมุมเพื่อที่จะหาของดีๆ {nl}บางทีเขาจะโชคดีและเจอกล่องสมบัติ ข้าสงสัยจริงๆใครนำมันมาทิ้งไว้ที่นี่
QUEST_20150317_000140	Retired Hunter
QUEST_20150317_000141	ข้าจำการสู้รบที่เกิดขึ้นที่หุบเขาลึกที่เหล่าทหารเข้าสู้กับมอนสเตอร์ตัวใหญ่ {nl}การที่ล้มมอนสเตอร์ยักษ์ได้ก็ว่าน่าประหลาดใจแล้ว,แต่ของรางวัลที่ได้ช่างน่าประหลาดใจกว่า
QUEST_20150317_000142	Old Potter
QUEST_20150317_000143	ข้านะใส่คำภาวนาลงไปบนชิ้นงานของข้า,ทีละชิ้นทีละชิ้น {nl}เพราะอย่างนั้น,สักวันหนึ่งหม้อดินเหล่านี้จะเต็มไปด้วยพรจากเทพธิดา
QUEST_20150317_000144	{memo X}Swordman ควรจะมี Strength,แต่ก็อาจจะมี Dexterity กับ Constitution ด้วย {nl}เจ้าควรจะคิดก่อนว่าจะเริ่มด้วยคุณสมบัติด้านไหน
QUEST_20150317_000145	Wizard จะต้องมี Intelligence แต่ก็ต้องไม่ลืมที่จะมี Spirit เพื่อที่จะร่ายเวทย์ได้มากขึ้น {nl}เจ้าจะต้องเลือกระหว่าง สายสมดุล กับ สายเฉพาะเจาะจง
QUEST_20150317_000146	{memo X}Archer ควรจะมี Strength,แต่ Dexterity จะช่วยเรื่องของปัญหาเกี่ยวกับการเคลื่อนที่ {nl}เจ้าควรจะคิดก่อนว่าจะเริ่มด้วยคุณสมบัติด้านไหน
QUEST_20150317_000147	{memo X}Cleric ควรจะต้องมี Intelligence,แต่อาจจะต้องการไม่ Strength ก็ Spirit ที่มาก {nl}เจ้าควรจะตัดสินใจก่อนว่าเจ้าต้องการเริ่มด้วยคุณสมบัติด้านไหน
QUEST_20150317_000148	Doppelsoeldner Master
QUEST_20150317_000149	สิ่งที่มีค่าส่วนใหญ่จะมาพร้อมความเสี่ยงเสมอ {nl}ตามปกติ,สำหรับรางวัลชิ้นใหญ่ๆ,เจ้าจะต้องพบเจอสิ่งอันตรายมากมาย
QUEST_20150317_000150	Corsair Master
QUEST_20150317_000151	{memo X}ข้าจะไม่ไปช่วยเหลือผู้อื่นหรอกนะถ้าข้าทำไปแล้วไม่ได้อะไรเลยนะ
QUEST_20150317_000152	Boulder
QUEST_20150317_000153	หินขนาดใหญ่ได้ปิดกั้นทางไว้
QUEST_20150317_000154	มันต้องการการซ่อมแซม
QUEST_20150317_000155	{memo X}หินขนาดใหญ่บังทางไว้
QUEST_20150317_000156	Magical Research Material
QUEST_20150317_000157	มันดูเหมือนว่ามันจะมีรายงานการวิจัยจากMage Tower{nl}มันควรจะมีสำเนาไม่ใช่หรือ?
QUEST_20150317_000158	{memo X}มัวแต่หลบๆซ่อนๆอยู่ไม่ช่วยให้แก้ปัญหาได้หรอกนะ {nl}Scout ที่แท้จริงต้องพร้อมจะต่อสู้เสมอ
QUEST_20150317_000159	{memo X}เจ้าจะต้องการสิ่งของมากมายในการเดินทาง {nl}อย่าลืมตุนเสบียงก่อนการเดินทางด้วยละ
QUEST_20150317_000160	ถ้าเวทย์ที่ควบคุมได้ถูกถอนออกไป,ข้อความศักสิทธืจะไม่ได้รับการคุ้มครอง
QUEST_20150317_000161	Forgotten Thief's Cenotaph
QUEST_20150317_000162	$ข้า,Zubeck,ได้ทิ้งคำจารึกนี้ไว้ {nl}เพื่อเกียรติยศแห่งการเป็นจอมโจรที่เก่งที่สุดในประวัติศาสตร์,ข้าเข้าท้าดวลกับนักเวทย์ผู้ทรงพลัง
QUEST_20150317_000163	$แต่จะเป็นไปได้ไหมที่ข้า,เป็นเพียงแค่โจร,ได้อ้างถึงชัยชนะเพียงแค่ได้ขโมยของจากเธอ? {nl}บางที,ถ้าหากข้าสามารถปล้นจอมเวทย์สูงสุดได้
QUEST_20150317_000164	$อย่างไรก็ตาม,ข้าทำไม่ได้ {nl}ข้าต้องการเป็นจอมโจรที่ยิ่งใหญ่ที่สุดในประวิติศาสตร์,ไม่ใช่แค่วันนี้
QUEST_20150317_000165	$ในที่สุดข้าก็ได้ค้นพบทางเข้าMage Tower {nl}เพื่อที่จะเข้าไปจะต้องรวบรวมพลังเวทย์ที่จุดเฉพาะ {nl}ตอนนี้,เหลือแต่ขั้นตอนที่ต้องใช้ความแน่วแน่ในการดำเนินการ
QUEST_20150317_000166	$หลังจากนั้น,อุปกรณ์พิเศษของข้าจะทำงาน {nl}ถ้าเจ้าทำอย่างที่ข้าทำ,เจ้าก็จะเข้าไปในหอคอยได้เหมือนกัน
QUEST_20150317_000167	$แล้วเจ้าคงจะสั่งสอนเจ้าพวกจอมเวทย์โง่เง่านั่นได้บ้างล่ะนะ,ฮ่าฮ่า!
QUEST_20150317_000168	Commanding Monument
QUEST_20150317_000169	{memo X}เจ้าโจรที่ได้เข้ามาในหอคอยนี้ได้ถูกเผาทั้งเป็น {nl}ข้าได้ทิ้งอนุสรณ์นี้เป็นสิ่งเตือนใจแก่ผู้ที่ต้องการจะบุกรุก {nl}-Agailla Flurry
QUEST_20150317_000170	Demon Queen Gesti
QUEST_20150317_000171	เจ้ามนุษย์ผู้ไร้ยางอาย		
QUEST_20150317_000172	รอก่อนเถอะ นี่มันยังไม่จบหรอกนะ {nl}จงภาวนาสุดหัวใจ้เจ้าให้ Laima ช่วยปกป้องโลกนี้เถอะ
QUEST_20150317_000173	Klaipeda Officer
QUEST_20150317_000174	{memo X}ยินดีต้อนรับ,ยินดีต้อนรับ {nl}Sir Uska ได้รออยู่จตุรัสกลางเมืองKlaipeda {nl}เจ้าต้องการจะทำอะไรก่อนไหม?
QUEST_20150317_000175	ต้องการวาร์ปไปหน้าประตูเมืองKlaipedaเลยไหม?
QUEST_20150317_000176	Temporary Operator
QUEST_20150317_000177	โปรดเปลี่ยนแปลงสถานะตัวละคร
QUEST_20150317_000178	กางตั้งค่า NPC ซ่อน/ยกเลิกการซ่อน!
QUEST_20150317_000179	Follower Algis
QUEST_20150317_000180	นี่คือเหตุการณ์แรกที่เทพธิดาได้พยากรณ์ไว้กับหัวหน้าพาลาดิน {nl}มา ถามข้าได้ทุกเรื่อง
QUEST_20150317_000181	เมื่อนาน,นานมากแล้วมีกลุ่มคนพเนจรกลุ่มหนึ่งถูกคำสาบด้วยโรคระบาด {nl}หนัวหน้าอัศวินผู้ทรงเกียรติได้ใช้Holy Relicปัดเป่าคำสาปไป
QUEST_20150317_000182	พวกWatchersน่ะ คือลูกหลานของพวกคนพเนจรเหล่านั้น {nl}อย่างไรก็ตาม,Holy Relicน่ะไม่ได้ถูกสร้างขึ้นมาเพื่อรักษาผู้คนเหล่านั้น
